0,Nigel,Zboncak,5770,18703,624064896075600,16,25962 McCullough Ways,Nigel_Zboncak64@hotmail.com
1,Emery,Schimmel,5133,13617,798362634049200,15,310 Donnelly Points,Emery.Schimmel@hotmail.com
2,Isidro,Ernser,2177,11446,439100264781700,4,3592 White Via,Isidro42@yahoo.com
3,Nelda,Jacobs,3987,5033,386139820036200,10,0182 Jakubowski Branch,Nelda_Jacobs@yahoo.com
4,Noel,MacGyver,4822,3426,522091229685500,16,1379 Reynolds Oval,Noel74@gmail.com
5,Dustin,MacGyver,116,17024,132858786792300,5,331 Rath Camp,Dustin_MacGyver34@hotmail.com
6,Jillian,Schimmel,8399,5230,753312972732900,7,126 Kory Mountains,Jillian.Schimmel7@gmail.com
7,Viola,Zieme,5987,14833,722576700944800,19,1668 Raymundo Flat,Viola.Zieme@yahoo.com
8,Hope,Kuhlman,2408,9829,602207722897300,2,66095 Lynch Pine,Hope72@gmail.com
9,Quinten,Heller,6085,17583,44180117520800,11,69688 Tara Summit,Quinten.Heller@gmail.com
